observation_date,NGDPRSAXDCBRQ
1996-01-01,175440.796875
1996-04-01,177662.703125
1996-07-01,183826.296875
1996-10-01,182461.796875
1997-01-01,184299.593750
1997-04-01,185327.296875
1997-07-01,187324.906250
1997-10-01,189244.796875
1998-01-01,185502.296875
1998-04-01,188521.296875
1998-07-01,188361.593750
1998-10-01,186470.406250
1999-01-01,186768.593750
1999-04-01,187538.093750
1999-07-01,187737.500000
1999-10-01,190316.406250
2000-01-01,192382.203125
2000-04-01,194948.406250
2000-07-01,197616.203125
2000-10-01,199860.593750
2001-01-01,200333.406250
2001-04-01,199596.296875
2001-07-01,198723.593750
2001-10-01,197778.906250
2002-01-01,202806.000000
2002-04-01,203528.796875
2002-07-01,206081.906250
2002-10-01,208099.906250
2003-01-01,207420.203125
2003-04-01,205691.203125
2003-07-01,207427.796875
2003-10-01,209570.500000
2004-01-01,212685.296875
2004-04-01,218409.406250
2004-07-01,221137.203125
2004-10-01,222933.203125
2005-01-01,224803.593750
2005-04-01,227275.500000
2005-07-01,225929.796875
2005-10-01,229039.500000
2006-01-01,232280.796875
2006-04-01,233279.296875
2006-07-01,237171.093750
2006-10-01,240111.203125
2007-01-01,244271.093750
2007-04-01,248568.703125
2007-07-01,251123.500000
2007-10-01,254789.703125
2008-01-01,258183.203125
2008-04-01,263471.812500
2008-07-01,267429.187500
2008-10-01,257451.000000
2009-01-01,254016.203125
2009-04-01,258495.500000
2009-07-01,264587.000000
2009-10-01,271221.593750
2010-01-01,277058.000000
2010-04-01,280526.406250
2010-07-01,283008.406250
2010-10-01,286889.187500
2011-01-01,291079.312500
2011-04-01,293668.093750
2011-07-01,293184.187500
2011-10-01,295921.187500
2012-01-01,291820.593750
2012-04-01,296811.406250
2012-07-01,301970.906250
2012-10-01,302185.406250
2013-01-01,303651.187500
2013-04-01,308024.187500
2013-07-01,309307.906250
2013-10-01,309884.406250
2014-01-01,312187.312500
2014-04-01,308093.500000
2014-07-01,307793.812500
2014-10-01,309139.593750
2015-01-01,306622.593750
2015-04-01,299663.593750
2015-07-01,294978.500000
2015-10-01,292125.593750
2016-01-01,288133.093750
2016-04-01,288998.000000
2016-07-01,287538.000000
2016-10-01,287260.500000
2017-01-01,290048.000000
2017-04-01,292337.000000
2017-07-01,293276.812500
2017-10-01,295014.406250
2018-01-01,296401.187500
2018-04-01,296335.906250
2018-07-01,298981.500000
2018-10-01,298397.406250
2019-01-01,299236.093750
2019-04-01,301031.593750
2019-07-01,300915.000000
2019-10-01,303392.093750
2020-01-01,296699.187500
2020-04-01,270498.187500
2020-07-01,291796.812500
2020-10-01,302626.312500
2021-01-01,305600.500000
2021-04-01,303662.187500
2021-07-01,304003.312500
2021-10-01,307631.312500
2022-01-01,310259.406250
2022-04-01,313773.906250
2022-07-01,316729.687500
2022-10-01,318379.187500
2023-01-01,322734.500000
2023-04-01,325098.812500
2023-07-01,325382.406250
2023-10-01,326670.906250
2024-01-01,329888.593750
2024-04-01,334229.593750
2024-07-01,336725.812500
2024-10-01,337306.906250
